Entry ID,Jurisdiction ,Date,Action,Intervention Category,Intervention type,Description,Organization
QC329,Que.,2020-06-29,New,Health workforce,Safety guidelines,Directives for dental services for Phase 4 of reopening issued,Ordre des dentistes du Québec
QC330,Que.,2020-07-15,New,Health workforce,Safety guidelines,Guidelines for optometrists for safe reopening issued,Ordre des optométristes du Québec
QC331,Que.,2020-06-26,New,Health workforce,Change in practice,Guidelines issued for pharmacists for safe delivery of services to residents in long-term care/nursing homes,Ordre des pharmaciens du Québec
QC332,Que.,2020-07-20,New,Health workforce,Safety guidelines,Guidelines for physiotherapists for safe reopening issued,Ordre professionnel de la physiothérapie du Québec 
QC333,Que.,2020-06-01,New,Health workforce,Safety guidelines,Guidelines for respiratory therapists for safe reopening issued,Ordre professionnel des inhalothérapeutes du Québec
QC336,Que.,2020-08-10,New,Closures/openings,Education,Operational plan for fall school openings released requiring mask use for staff and grade 5 to 12 students when moving within the school,"Office of the minister of education and higher education
"
QC340,Que.,2020-08-25,New,Case management,Education,Guidance document for case management and outbreak management in schools released,"Office of the minister of education and higher education
"
QC346,Que.,2020-08-24,New,Public information,Masks,Mask use mandated in indoor public places and transport services for those age 10 and older,"Minister of health and social services
"
QC347,Que.,2020-08-24,Eased,Closures/openings,Daycares,Daycares located in schools permitted to operate at full capacity,"Minister of health and social services
"
QC350,Que.,2020-08-26,New,Distancing,Gatherings,Requirement for places of worship to maintain physical distancing of 1.5 metres announced,"Minister of health and social services
"
QC351,Que.,2020-08-26,Eased,Closures/openings,Education,Announced that post-secondary students may remove masks when distancing of 1.5m is maintained,"Minister of health and social services
"
QC356,Que.,2020-09-04,New,Case management,Education,Announced the daily publication of a list of all schools with reported cases of COVID-19,"Minister of health and social services
"
QC357,Que.,2020-09-04,New,Health workforce,Change in practice,Announced that nursing externs may provide care to a patient in need of rapid intervention without the supervision of the nurse responsible,"Minister of health and social services
"
QC358,Que.,2020-09-08,New,Public information,Pandemic response plans,"New alert system launched, regions categorized as 4 alert levels: green–vigilance, yellow–early warning, orange–alert, red–maximum alert","Minister of health and social services
"
QC363,Que.,2020-09-11,New,Closures/openings,Recreation,Karaoke activities held in public places closed,"Minister of health and social services
"
QC364,Que.,2020-09-11,New,Case management,Contact tracing,Bars required to keep a register of customers for contact tracing,"Minister of health and social services
"
QC365,Que.,2020-09-15,New,Public information,Phase and alert level changes,"Bas-Saint-Laurent, Chaudière-Appalaches, Montréal and Montérégie regions elevated to yellow (early warning)","Office of the Premier
"
QC366,Que.,2020-09-15,New,Distancing,Gatherings,Indoor gatherings limited to 10 people in the regions that are in the yellow early alert zones,"Office of the Premier
"
QC368,Que.,2020-09-17,New,Health services,Visitors,Private residences for seniors must maintain a visitor registry for contact tracing,"Minister of health and social services
"
QC372,Que.,2020-09-19,New,Health workforce,Supply management,Pandemic pay for certain employees of the health network announced ,"Minister of health and social services
"
QC373,Que.,2020-09-20,New,Public information,Phase and alert level changes,Montréal and Chaudière-Appalaches and a portion of the Capitale-Nationale region elevated to orange (alert) ,"Minister of health and social services
"
QC374,Que.,2020-09-20,New,Distancing,Gatherings,"Private gatherings and gatherings at 1 table in restaurants, bars and casinos limited to a maximum of 6 people or 2 families","Minister of health and social services
"
QC376,Que.,2020-09-20,New,Health services,Visitors,"Restrictions at residential/long-term care homes in orange zone announced, limiting visitation to caregivers providing significant support ","Minister of health and social services
"
QC377,Que.,2020-09-22,New,Health workforce,Change in practice,Appeal to health professionals to help with COVID-19 screening efforts launched,"Minister of health and social services
"
QC378,Que.,2020-09-23,New,Health workforce,Change in practice,Authorization for medical technology externs to take specimens via peripheral veins announced,"Minister of health and social services
"
QC381,Que.,2020-09-28,New,Public information,Phase and alert level changes,Montréal and Chaudière-Appalaches and a portion of the Capitale-Nationale region elevated to red (maximum alert),"Minister of health and social services
"
QC382,Que.,2020-10-01,New,Distancing,Gatherings,Private gatherings in red alert zones prohibited (with exceptions),Minister of health and social services
QC385,Que.,2020-10-01,New,Health services,Visitors,"Further restrictions at residential/long-term care homes in red alert regions announced, limiting essential visits to daily maximums",Minister of health and social services
QC392,Que.,2020-09-21,New,Health workforce,Safety guidelines,Adjustments to dental practices based on alert levels published,"Ordre des dentistes du Québec
"
QC393,Que.,2020-09-17,New,Health workforce,Safety guidelines,Guidance for dental hygenists on resumption of preventive dental services in schools published,"Ordre des dentistes du Québec, Ordre des hygiénistes dentaires du Québec 
"
QC394,Que.,2020-09-24,New,Health workforce,Safety guidelines,Guidance for pharmacists published on safety measures to reduce risk of infection during vaccination,"Ordre des pharmaciens du Québec
"
QC395,Que.,2020-09-25,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for respiratory therapists announced,"Ordre professionnel des inhalothérapeutes du Québec
"
QC396,Que.,2020-09-08,New,Public information,Phase and alert level changes,Alert system launched with the province in varied alert levels,"Minister of health and social services
"
QC400,Que.,2020-09-30,Eased,Public information,Phase and alert level changes,"Etchemin, Montmagny and L'Islet sub-regions in Chaudière-Appalaches lowered to orange (alert)","Office of the Premier
"
QC401,Que.,2020-10-02,New,Travel,Restrictions,Travel to and from Municipalité Pointe-à-la-Croix and the Listuguj community in the Gaspésie–Îles-de-la-Madeleine region prohibited,"Minister of health and social services
"
QC402,Que.,2020-10-05,New,Public information,Phase and alert level changes,"Municipalities of Maria, Carleton-sur-Mer and Nouvelle from the Gaspésie region elevated to red (maximum alert)","Minister of health and social services
"
QC403,Que.,2020-10-05,New,Case management,Contact tracing,COVID Alert app launched in province,"Office of the Premier
"
QC411,Que.,2020-10-07,Eased,Health services,Visitors,Visitor restrictions at long-term care homes relaxed to allow end of life visits with no restrictions to age or daily number of visitors,"Minister of health and social services
"
QC412,Que.,2020-10-10,New,Public information,Phase and alert level changes,"MRC of Portneuf, MRCs of Drummond, Bécancour, Nicolet-Yamaska, and city of Trois-Rivières elevated to red (maximum alert)","Minister of health and social services
"
QC415,Que.,2020-10-11,New,Public information,Phase and alert level changes,City of Gatineau and the MRC des Collines-de-l'Outaouais elevated to red (maximum alert),"Minister of health and social services
"
QC416,Que.,2020-10-16,New,Public information,Phase and alert level changes,"Health region of Montérégie and MRCs of Charlevoix, Charlevoix-Est, Arthabaska and Érable elevated to red (maximum alert)","Minister of health and social services
"
QC417,Que.,2020-10-16,New,Public information,Phase and alert level changes,Health region of Saguenay–Lac-Saint-Jean elevated to orange (alert),"Minister of health and social services
"
QC421,Que.,2020-10-22,New,Public information,Phase and alert level changes,The MRCs of Joliette and Autray elevated to red (maximum alert),"Minister of health and social services
"
QC423,Que.,2020-10-24,New,Public information,Phase and alert level changes,Health region of Mauricie and Centre-du-Québec elevated to red (maximum alert),"Minister of health and social services
"
QC426,Que.,2020-10-26,New,Public information,Phase and alert level changes,Health region of MRC de l'Assomption elevated to red (maximum alert),"Minister of health and social services
"
QC428,Que.,2020-11-02,New,Closures/openings,Education,Distance learning expanded for Grade 9 students (all regions in red level) ,"Office of the Premier
"
QC430,Que.,2020-10-31,New,Public information,Phase and alert level changes,Health region of Lanaudière elevated to red (maximum alert),"Minister of health and social services
"
QC432,Que.,2020-10-31,New,Public information,Phase and alert level changes,"Health regions of Saguenay–Lac-Saint-Jean and Chaudière-Appalaches, MRCs of Montmagny, L'Islet and Etchemins elevated to red (maximum alert)","Minister of health and social services
"
QC433,Que.,2020-11-06,Eased,Public information,Phase and alert level changes,Îles-de-la-Madeleine region lowered to yellow level (early warning),"Minister of health and social services
"
QC435,Que.,2020-11-04,New,Health workforce,Change in practice,"Authorization for various health professionals, including chiropractors, occupational therapists and optometrists, to perform COVID-19 tests","Minister of health and social services
"
QC437,Que.,2020-11-10,Eased,Public information,Phase and alert level changes,"Municipalities of Carleton-sur-Mer, Maria and Nouvelle in the Gaspésie region lowered to orange (alert)","Minister of health and social services
"
QC438,Que.,2020-11-10,New,Public information,Phase and alert level changes,Nord-du-Québec region elevated to orange (alert),"Minister of health and social services
"
QC439,Que.,2020-11-12,New,Public information,Phase and alert level changes,Region of Estrie elevated to red (maximum alert),"Minister of health and social services
"
QC443,Que.,2020-10-01,New,Health services,Telemedicine/virtual care,Announcement for audiologists and speech-language pathologists to prioritize the use of virtual care,"Ordre des orthophonistes et audiologistes du Québec
"
QC444,Que.,2020-10-14,New,Health workforce,Change in practice,Guidelines issued for licensed practical nurses for safe delivery of care during pandemic,"Ordre des infirmières et infirmiers auxiliaires du Québec
"
QC449,Que.,2020-09-15,New,Distancing,Gatherings,"Indoor, outdoor and private gatherings limited to a maximum of 10 (Bas-Saint-Laurent, Chaudière-Appalaches, Montréal and Montérégie)","Minister of health and social services
"
QC450,Que.,2020-09-15,New,Closures/openings,Recreation,Arts and recreational facilities and places of worship limited to 250 people and 50/room in public indoor spaces (4 regions–yellow level),"Minister of health and social services
"
QC451,Que.,2020-09-15,New,Closures/openings,Non-essential services,"Restaurants/bars to limit capacity to 50%, end liquor sales at 12 a.m., close by 1 a.m. and keep a patron registry (4 regions–yellow level)","Minister of health and social services
"
QC452,Que.,2020-09-15,New,Closures/openings,Recreation,"Recreational sport facilities limited to 250 people and 50/room indoors (Bas-Saint-Laurent, Chaudière-Appalaches, Montréal, Montérégie)","Minister of health and social services
"
QC453,Que.,2020-09-15,New,Health services,Visitors,"Visitor access to long-term care restricted to 2 per visit and 4 per day (Bas-Saint-Laurent, Chaudière-Appalaches, Montréal, Montérégie)","Minister of health and social services
"
QC454,Que.,2020-09-20,New,Distancing,Gatherings,"Gatherings of more than 6 people prohibited (Montréal, Chaudière-Appalaches, part of Capitale-Nationale region)","Minister of health and social services
"
QC455,Que.,2020-09-20,New,Closures/openings,Recreation,Arts and recreational facilities and places of worship limited to 250 and organized gatherings limited to 25/room (3 regions–orange level),"Minister of health and social services
"
QC456,Que.,2020-09-20,New,Closures/openings,Non-essential services,"Restaurants/bars to permit 6 people/table, end liquor sales at 11 p.m., close by 12 a.m. and keep a patron registry (3 regions–orange level)","Minister of health and social services
"
QC458,Que.,2020-09-20,New,Health services,Visitors,"Visitor access to long-term care restricted to caregivers with no change to limit (Montréal, Chaudière-Appalaches, Capitale-Nationale)","Minister of health and social services
"
QC459,Que.,2020-10-01,New,Distancing,Gatherings,"Gatherings outside of household prohibited (Montréal, MRC de la Rivière-du-Nord and Chaudière-Appalaches, part of Capitale-Nationale region)","Minister of health and social services
"
QC460,Que.,2020-10-01,New,Closures/openings,Recreation,Arts and recreational facilities closed and organized sports and leisure activities suspended (4 regions–red level),"Minister of health and social services
"
QC461,Que.,2020-10-01,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (4 regions–red level)","Minister of health and social services
"
QC463,Que.,2020-10-01,New,Health services,Visitors,Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (4 regions),"Minister of health and social services
"
QC464,Que.,2020-09-30,New,Distancing,Gatherings,"Gatherings of more than 6 people prohibited (Etchemin, Montmagny and L'Islet sub-regions) ","Minister of health and social services
"
QC465,Que.,2020-09-30,New,Closures/openings,Recreation,Arts/recreational facilities and places of worship limited to a maximum of 250 people and indoor events limited to 25 (3 regions–orange level),"Minister of health and social services
"
QC466,Que.,2020-09-30,New,Closures/openings,Non-essential services,"Restaurants/bars to permit 6 people/table, end liquor sales at 11 p.m., close by 12 a.m. and keep a patron registry (3 regions–orange level)","Minister of health and social services
"
QC468,Que.,2020-09-30,New,Health services,Visitors,"Visitor access to long-term care restricted to informal caregivers with no change to limit (Etchemin, Montmagny, L'Islet sub-regions)","Minister of health and social services
"
QC469,Que.,2020-10-05,New,Distancing,Gatherings,"Gatherings outside of household prohibited (Maria, Carleton-sur-Mer, Nouvelle) ","Minister of health and social services
"
QC470,Que.,2020-10-05,New,Closures/openings,Recreation,"Arts and recreational facilities closed; organized sports and leisure activities suspended (Maria, Carleton-sur-Mer, Nouvelle)","Minister of health and social services
"
QC471,Que.,2020-10-05,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (Maria, Carleton-sur-Mer, Nouvelle)","Minister of health and social services
"
QC473,Que.,2020-10-05,New,Health services,Visitors,"Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (Maria, Carleton-sur-Mer, Nouvelle)","Minister of health and social services
"
QC474,Que.,2020-10-14,New,Closures/openings,Education,"Distancing enhanced, extracurriculars banned, masks mandated (high school) and remote learning expanded (grades 10–11)(5 regions–red level)","Minister of education
"
QC477,Que.,2020-10-15,New,Closures/openings,Education,"Distancing enhanced, extracurriculars banned, masks mandated (high school) and remote learning expanded (grades 10–11)(2 regions–red level)","Minister of education
"
QC480,Que.,2020-10-19,New,Closures/openings,Education,"Distancing enhanced, extracurriculars banned, masks mandated (high school) and remote learning expanded (grades 10–11)(5 regions–red level)","Minister of health and social services
"
QC483,Que.,2020-10-23,New,Closures/openings,Education,"Distancing enhanced, extracurriculars banned, masks mandated (high school) and remote learning expanded (grades 10–11)(Joliette, Autray)","Minister of health and social services
"
QC486,Que.,2020-10-10,New,Distancing,Gatherings,"Gatherings outside of household prohibited (Portneuf, Drummond, Bécancour, Nicolet-Yamaska, Trois-Rivières)","Minister of health and social services
"
QC487,Que.,2020-10-10,New,Closures/openings,Recreation,Arts and recreational facilities closed and organized sports and leisure activities suspended (5 regions–red level),"Minister of health and social services
"
QC488,Que.,2020-10-10,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (5 regions–red level)","Minister of health and social services
"
QC490,Que.,2020-10-10,New,Health services,Visitors,Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (5 regions),"Minister of health and social services
"
QC491,Que.,2020-10-11,New,Distancing,Gatherings,"Gatherings outside of household prohibited (city of Gatineau, Collines-de-l'Outaouais) ","Minister of health and social services
"
QC492,Que.,2020-10-11,New,Closures/openings,Recreation,"Arts/recreational facilities closed; organized sports and leisure activities suspended (city of Gatineau, Collines-de-l'Outaouais)","Minister of health and social services
"
QC493,Que.,2020-10-11,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (city of Gatineau, Collines-de-l'Outaouais)","Minister of health and social services
"
QC495,Que.,2020-10-11,New,Health services,Visitors,"Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (Gatineau, Collines-de-l'Outaouais)","Minister of health and social services
"
QC496,Que.,2020-10-16,New,Distancing,Gatherings,"Gatherings outside of household prohibited (Montérégie, Charlevoix, Charlevoix-Est, Arthabaska, Érable) ","Minister of health and social services
"
QC497,Que.,2020-10-16,New,Closures/openings,Recreation,Arts and recreational facilities closed and organized sports and leisure activities suspended (5 regions–red level),"Minister of health and social services
"
QC498,Que.,2020-10-16,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (5 regions–red level)","Minister of health and social services
"
QC500,Que.,2020-10-16,New,Health services,Visitors,Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (5 regions),"Minister of health and social services
"
QC501,Que.,2020-10-16,New,Distancing,Gatherings,Gatherings of more than 6 people prohibited (Saguenay–Lac-Saint-Jean),"Minister of health and social services
"
QC502,Que.,2020-10-16,New,Closures/openings,Recreation,Arts and recreational facilities and places of worship limited to a maximum of 250 and indoor events limited to 25 (Saguenay–Lac-Saint-Jean),"Minister of health and social services
"
QC503,Que.,2020-10-16,New,Closures/openings,Non-essential services,"Restaurants/bars to permit 6 people/table, end liquor sales at 11 p.m., close by 12 a.m. and keep a patron registry (Saguenay–Lac-Saint-Jean)","Minister of health and social services
"
QC505,Que.,2020-10-16,New,Health services,Visitors,Visitor access to long-term care restricted to informal caregivers with no change to limit (Saguenay–Lac-Saint-Jean),"Minister of health and social services
"
QC506,Que.,2020-10-22,New,Distancing,Gatherings,"Gatherings outside of household prohibited (Joliette, Autray)","Minister of health and social services
"
QC507,Que.,2020-10-22,New,Closures/openings,Recreation,"Arts and recreational facilities closed and organized sports and leisure activities suspended (Joliette, Autray)","Minister of health and social services
"
QC508,Que.,2020-10-22,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (Joliette, Autray)","Minister of health and social services
"
QC510,Que.,2020-10-22,New,Health services,Visitors,"Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (Joliette, Autray)","Minister of health and social services
"
QC517,Que.,2020-10-24,New,Distancing,Gatherings,"Gatherings outside of household prohibited (Centre-du-Québec, Mauricie)","Minister of health and social services
"
QC518,Que.,2020-10-24,New,Closures/openings,Recreation,"Arts and recreational facilities closed and organized sports and leisure activities suspended (Centre-du-Québec, Mauricie)","Minister of health and social services
"
QC519,Que.,2020-10-24,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (Centre-du-Québec, Mauricie)","Minister of health and social services
"
QC521,Que.,2020-10-24,New,Health services,Visitors,"Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (Centre-du-Québec, Mauricie)","Minister of health and social services
"
QC522,Que.,2020-10-26,New,Closures/openings,Education,"Distancing enhanced, extracurriculars banned, masks mandated (high school) and remote learning expanded (grades 10–11)(2 regions–red level)","Minister of health and social services
"
QC526,Que.,2020-10-26,New,Distancing,Gatherings,Gatherings outside of household prohibited (l'Assomption),"Minister of health and social services
"
QC527,Que.,2020-10-26,New,Closures/openings,Recreation,Arts and recreational facilities closed and organized sports and leisure activities suspended (l'Assomption),"Minister of health and social services
"
QC528,Que.,2020-10-26,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (l'Assomption)","Minister of health and social services
"
QC530,Que.,2020-10-26,New,Health services,Visitors,Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (l'Assomption),"Minister of health and social services
"
QC531,Que.,2020-10-28,New,Closures/openings,Education,"Distancing enhanced, extracurriculars banned, masks mandated (high school) and remote learning expanded (grades 10–11)(l'Assomption)","Minister of health and social services
"
QC535,Que.,2020-10-31,New,Distancing,Gatherings,Gatherings outside of household prohibited (Lanaudière),"Minister of health and social services
"
QC536,Que.,2020-10-31,New,Closures/openings,Recreation,Arts and recreational facilities closed and organized sports and leisure activities suspended (Lanaudière),"Minister of health and social services
"
QC537,Que.,2020-10-31,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (Lanaudière)","Minister of health and social services
"
QC539,Que.,2020-10-31,New,Health services,Visitors,Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (Lanaudière),"Minister of health and social services
"
QC540,Que.,2020-11-02,New,Closures/openings,Education,"Distancing enhanced, extracurriculars banned, masks mandated (high school) and remote learning expanded (grades 9 to 11)(Lanaudière)","Minister of health and social services
"
QC544,Que.,2020-11-02,New,Distancing,Gatherings,"Gatherings outside of household prohibited (Saguenay–Lac-Saint-Jean, Chaudière-Appalaches, Montmagny, L'Islet, Etchemins)","Minister of health and social services
"
QC545,Que.,2020-11-02,New,Closures/openings,Recreation,Arts and recreational facilities closed and organized sports and leisure activities suspended (5 regions–red level),"Minister of health and social services
"
QC546,Que.,2020-11-02,New,Closures/openings,Non-essential services,"Restaurants/bars (except takeout/delivery), saunas and spas (with exceptions) closed (5 regions–red level)","Minister of health and social services
"
QC548,Que.,2020-11-02,New,Health services,Visitors,Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (5 regions),"Minister of health and social services
"
QC549,Que.,2020-11-04,New,Closures/openings,Education,"Distancing enhanced, extracurriculars banned, masks mandated (high school) and remote learning expanded (grades 9 to 11)(2 regions–red level)","Minister of health and social services
"
QC553,Que.,2020-11-06,New,Distancing,Gatherings,Gatherings of more than 10 people prohibited (Îles-de-la-Madeleine),"Minister of health and social services
"
QC554,Que.,2020-11-06,New,Closures/openings,Recreation,"Arts and recreational facilities and places of worship limited to a maximum of 250 people, 50/room (Îles-de-la-Madeleine)","Minister of health and social services
"
QC555,Que.,2020-11-06,New,Closures/openings,Non-essential services,"Restaurants/bars to limit capacity to 50%, end liquor sales at 12 a.m., close by 1 a.m. and keep a patron registry (Îles-de-la-Madeleine)","Minister of health and social services
"
QC557,Que.,2020-11-06,New,Health services,Visitors,Visitor access to long-term care restricted to 2 per visit and 4 per day (Îles-de-la-Madeleine),"Minister of health and social services
"
QC558,Que.,2020-11-10,New,Distancing,Gatherings,"Gatherings of more than 6 people prohibited (Carleton-sur-Mer, Maria, Nouvelle)","Minister of health and social services
"
QC559,Que.,2020-11-10,New,Closures/openings,Recreation,"Arts and recreational facilities and places of worship limited to 250 people, 25 people/room (Carleton-sur-Mer, Maria, Nouvelle)","Minister of health and social services
"
QC560,Que.,2020-11-10,New,Closures/openings,Non-essential services,"Restaurants/bars to permit 6 people/table, end liquor sales at 11 p.m., close by 12 a.m. and keep a patron registry (3 municipalities–orange)","Minister of health and social services
"
QC562,Que.,2020-11-10,New,Health services,Visitors,"Visitor access to long-term care restricted to informal caregivers with no change to limit (Carleton-sur-Mer, Maria, Nouvelle)","Minister of health and social services
"
QC563,Que.,2020-11-10,New,Distancing,Gatherings,Gatherings of more than 6 people prohibited (Nord-du-Québec),"Minister of health and social services
"
QC564,Que.,2020-11-10,New,Closures/openings,Recreation,Arts facilities and places of worship limited to a maximum of 250 people and private indoor events limited to 25 (Nord-du-Québec),"Minister of health and social services
"
QC565,Que.,2020-11-10,New,Closures/openings,Non-essential services,"Restaurants/bars to permit 6 people/table, end liquor sales at 11 p.m., close by 12 a.m. and keep a patron registry (Nord-du-Québec)","Minister of health and social services
"
QC567,Que.,2020-11-10,New,Health services,Visitors,Visitor access to long-term care restricted to informal caregivers with no change to limit (Nord-du-Québec),"Minister of health and social services
"
QC568,Que.,2020-11-12,New,Distancing,Gatherings,Gatherings outside of household prohibited (Estrie),"Minister of health and social services
"
QC569,Que.,2020-11-12,New,Closures/openings,Recreation,Arts and recreational facilities closed and organized sports and leisure activities suspended (Estrie),"Minister of health and social services
"
QC570,Que.,2020-11-12,New,Closures/openings,Non-essential services,"Bars, brasseries, taverns, casinos, restaurants (except takeout/delivery), saunas and spas (with exceptions) closed (Estrie)","Minister of health and social services
"
QC572,Que.,2020-11-12,New,Health services,Visitors,Visitor access to long-term care restricted to 1 caregiver per visit and 2 per day (Estrie),"Minister of health and social services
"
QC573,Que.,2020-11-13,New,Closures/openings,Education,"Distancing enhanced, extracurriculars banned, masks mandated (high school) and remote learning expanded (grades 9 to 11)(Estrie)","Minister of health and social services
"
SK001,Sask.,2020-02-13,New,Case management,Self-isolation,Guidance on self-isolation for those returning from travel to China's Hubei province published,"Government of Saskatchewan
"
SK003,Sask.,2020-03-06,New,Health services,Visitors,Visitor access to hospitals restricted to essential visitors,"Saskatchewan Health Authority
"
SK004,Sask.,2020-03-16,New,Distancing,Gatherings,Gatherings of more than 250 people prohibited,"Government of Saskatchewan, Chief Medical Health Officer"
SK008,Sask.,2020-03-16,New,Health services,Visitors,Visitor access to long-term care restricted to essential visitors,"Government of Saskatchewan, Chief Medical Health Officer"
SK010,Sask.,2020-03-18,New,Closures/openings,Recreation,Select recreational and entertainment facilities closed,"Government of Saskatchewan, Chief Medical Health Officer"
SK011,Sask.,2020-03-18,New,Closures/openings,Non-essential services,Distancing measures in restaurants ordered,"Government of Saskatchewan, Chief Medical Health Officer"
SK012,Sask.,2020-03-18,New,Distancing,Gatherings,Gatherings of more than 50 people prohibited,"Government of Saskatchewan
"
SK013,Sask.,2020-03-18,New,Health services,Telemedicine/virtual care,Temporary billing codes for physicians announced,"Government of Saskatchewan
"
SK014,Sask.,2020-03-18,New,State of emergency,State of emergency,Provincial state of emergency declared,"Government of Saskatchewan
"
SK015,Sask.,2020-03-18,New ,Closures/openings,Health services,Recommendation to suspend non-urgent dental services issued,"College of Dental Surgeons of Saskatchewan 
"
SK017,Sask.,2020-03-19,New,Case management,Self-isolation,Mandatory 14-day self-isolation for confirmed cases announced,"Government of Saskatchewan
"
SK018,Sask.,2020-03-19,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for registered nurses and nurse practitioners announced,"Saskatchewan Registered Nurses’ Association 
"
SK021,Sask.,2020-03-20,New,Closures/openings,Education,Schools closed,"Government of Saskatchewan
"
SK023,Sask.,2020-03-20,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from international travel announced,"Government of Saskatchewan
"
SK024,Sask.,2020-03-20,New,Closures/openings,Daycares,Daycares limited to providing care for children of workers who are associated with the pandemic response,Government of Saskatchewan
SK026,Sask.,2020-03-23,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies issued ,"Government of Saskatchewan, Chief Medical Health Officer"
SK027,Sask.,2020-03-23,New,Health services,Delayed/resumed medical procedures ,Non-urgent procedures and elective surgeries postponed,Saskatchewan Health Authority
SK029,Sask.,2020-03-23,New,Closures/openings,Non-essential services,"Restaurants, personal and beauty services ordered closed, with exceptions","Government of Saskatchewan, Chief Medical Health Officer"
SK030,Sask.,2020-03-23,New,Closures/openings,Health services,Non-essential health services closed,"Government of Saskatchewan, Chief Medical Health Officer"
SK033,Sask.,2020-03-26,New,Closures/openings,Non-essential services,Non-essential businesses closed,"Government of Saskatchewan, Chief Medical Health Officer"
SK034,Sask.,2020-03-26,New,Distancing,Gatherings,Gatherings of more than 10 people prohibited,"Government of Saskatchewan, Chief Medical Health Officer"
SK035,Sask.,2020-03-30,New,Case management,Contact tracing,Redeployment of government staff to address capacity need for contact tracing announced,"Government of Saskatchewan
"
SK042,Sask.,2020-04-13,Context,Contextual information,Holiday,Spring break,"Boards of education
"
SK043,Sask.,2020-04-15,New,Health workforce,Safety guidelines,Order for daily screening of all people before entering facilities issued,"Saskatchewan Health Authority
"
SK044,Sask.,2020-04-15,New,Health workforce,Safety guidelines,Order for staff in patient care areas to wear a mask at all times issued,"Saskatchewan Health Authority
"
SK045,Sask.,2020-04-18,New,Travel,Self-isolation,Recommendation for 14-day self-isolation following interprovincial travel issued,"Regional medical health officers
"
SK046,Sask.,2020-04-18,New,Travel,Restrictions,Travel advisory warning against non-essential travel between provinces issued,"Regional medical health officers
"
SK047,Sask.,2020-04-28,New,Health workforce,Safety guidelines,Order restricting staff movement between health care facilities issued,"Chief Medical Health Officer
"
SK052,Sask.,2020-04-15,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for licensed practical nurses announced,"Saskatchewan Association of Licensed Practical Nurses 
"
SK053,Sask.,2020-04-16,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for paramedics announced,"Saskatchewan College of Paramedics 
"
SK059,Sask.,2020-04-03,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for respiratory therapists announced,"Saskatchewan College of Respiratory Therapists 
"
SK062,Sask.,2020-05-04,New,Public information,Pandemic response plans,Reopening plan released,Chief Medical Officer of Health
SK063,Sask.,2020-05-04,Eased,Closures/openings,Health services,"Non-essential health services resumed, except Lloydminster and La Loche","Premier, Chief Medical Officer of Health
"
SK065,Sask.,2020-05-04,Eased,Closures/openings,Recreation,"Low-risk outdoor recreational activities resumed (e.g., boating, fishing, hiking), except Lloydminster and La Loche","Premier, Chief Medical Officer of Health
"
SK066,Sask.,2020-05-15,Eased,Closures/openings,Recreation,"More low-risk outdoor recreational activities resumed (e.g., golfing), except Lloydminster and La Loche","Premier, Chief Medical Officer of Health"
SK067,Sask.,2020-06-01,Eased,Closures/openings,Recreation,Campgrounds opened (except in La Loche),"Premier, Chief Medical Officer of Health
"
SK070,Sask.,2020-04-24,Eased,Distancing,Gatherings,Limitations on social gatherings relaxed to allow gatherings of 2 households,"Premier, Chief Medical Officer of Health
"
SK071,Sask.,2020-04-24,New,Travel,Restrictions,Travel restrictions on non-essential travel to northern regions announced,"Government of Saskatchewan
"
